0,"Beauty is knowing you Kat... 
Congratulations #KatrinaKaif on your new beauty brand #KaybyKatrina.
Love.
a. https://t.co/CFSHWFZNky"
1,"In this 150th birth anniversary of Baapu, let us remind ourselves of what he stood for. Let us revisit his writings, his thoughts, his books and his life. (English)

https://t.co/rSEHoApyFL"
2,"In this 150th birth anniversary of baapu, let us remind ourselves of what he stood for. Let us revisit his writings, his thoughts, his books and his life.
https://t.co/F8VikdzWty"
3,.@KomalNahta https://t.co/X6134AmBWx
4,"Hey guys, 
What an awesome trailer.
Check it out.
https://t.co/1qgDPcCPiX"
5,"RT @swachhbharat: The journey of 130 crore people in creating the world's largest behaviour change Jan Andolan, with one powerful war cry -…"
6,"RT @DrHarish139: #WorldMentalHealthWeek2019
  40% of #suicide victims r #Indians

#screening of families &amp; women periodically for #depressi…"
7,"RT @DrHarish139: #WorldMentalHealthWeek2019 : 1/6 who died due to #suicide were #dailywageearners  (N.C.R.B : India 2015). 

If #healthwork…"
8,"#worldmentalhealthweek2019 Sudden, lose of job or money can cause intense fear &amp; shame.Unmute Ur feelings &amp; unlock Ur mind.Let shame, fear &amp; sadness find compassionate ears in close friends &amp; family.Healing begins when feelings r tabled.Intense pain, seek help.
STAY ALIVE!"
9,"RT @DrHarish139: #WorldMentalHealthWeek2019
 1/10 Indians r mentally ill. 150 million need urgent treatment.

6000 psychiatrists r not enou…"
10,"RT @DrHarish139: #worldmentalhealthweek2019 : Break-ups r inevitable at times. Love may have birth growth &amp; death. It's not about, ' I am n…"
11,#WorldMentalHealthWeek2019 https://t.co/iwZo5KMHie
12,"Hey guys,  
Happy to announce a book project on the great music composer Vanraj Bhatia, to be written by Khalid Mohamed, at the initiative of my friend Dalip Tahil."
13,A little light. A lot of magic. @Vivo_India https://t.co/p98Y1PDnfS
14,"Dear Kareena,  wishing you many happy returns of this day. May you always be happy and smiling.  
Love. 
a."
15,"Just saw the trailer of Syeraa! HUGE scale! 
I am a big fan of Chiranjeevi Garu, and I can't wait to see the film! 
All the very best to Chiranjeevi Sir,  Ram Charan,  and the entire team! 

https://t.co/aRpS28uVws

Love.  
a.

#SyeRaaTrailer #Chiranjeevi #RamCharan"
16,"I really liked this trailer. Cant wait to see the movie. Looks like Shonali has made another fantastic film. I am sure Priyanka, Farhan and Zaira's performances in the film will wow us. Sid, wishing you the best for your first independent film! 
Love. 
a.
https://t.co/6cA4ZU755P"
17,"RT @DrHarish139: #WORLDSUICIDEPREVENTIONDAY  

SINGLE THOUGHT OF #SELFHARM SHLD BE SCREENED BY A #MENTALHEALTHPROFESSIONAL

RED FLAGS

 I w…"
18,"RT @mybmc: #Mumbaikars , if stranded in the #MumbaiRains please follow this thread, for a list of shelters, you could make home till the wa…"
19,"Michhami Dukkadam 🙏.

If I have ever, knowing or unknowingly, caused anyone any pain or hurt,  I seek forgiveness from you with a bowed head and folded hands.  
Please forgive me 🙏
Love.  
a."
20,The initiative by the Hon'ble PM @narendramodi to curb 'single use plastic' is an effort all of us should strongly support. It's up to each of us to make sure we stop using 'single use plastic'.
21,"Congratulations @Pvsindhu1 you make us so proud! 
Respect. 
a."
22,#HappyJanmashtami https://t.co/qrR6zue9Id
23,Wishing everyone a very happy Janmashtami ! https://t.co/olvKh38dn2
24,"Hey guys, AKP's latest production and one of our most cherished, #RubaruRoshni, directed by Svati Chakravarty Bhatkal, is now available on Netflix. 

https://t.co/a8vYeTeKxI

Love.
a."
25,"Wishing everyone a very happy Independence Day and a very happy Raksha Bandhan.  
Love.  
a."
26,".@niteshtiwari22 ji, really liked your trailer which you showed me. Wishing you all the very best for the film. May it receive all the love of our audience, and may it bring joy to all of us. Very keen to see it myself. 
#ChhichhoreTrailer :  https://t.co/qe9MNe8BYB

Love. 
a."
27,"One of my favourite scenes...

https://t.co/nP8F8zqFHH"
28,''Raftaar ke avtaar...'' https://t.co/HnJ7EK5bjn
29,.@imVkohli @BCCI  #TeamIndia https://t.co/a9mCqYKSGo
30,"Hey guys, now that the monsoon has started showing its might, you might want to follow @mybmc for updates on all that we need to know during the showers! #MumbaiRains #AskMyBMC"
31,"I have known Keya to be a very exciting writer who has a flair for drama.  I wish her all the very best for her new book 'House Of Stars', and I look forward to reading it. https://t.co/qeZQvD3uTl"
32,".@narendramodi Sir, the initiative taken up by you of making water the fundamental and primary issue for all of us is an extremely important step.  Our wholehearted support is with you.
#JanShakti4JalShakti
@JalShaktiAbhyan https://t.co/pNjmKZ66Vb"
33,"@ramsaysthetruth @AshGowariker Thanks Ram.  Thank you everyone.  
Love. a."
34,"Thank you @AshGowariker, and thanks to everyone who has been a part of Lagaan.  What a memorable and beautiful journey.  
And what better than today to see this :

https://t.co/flVxbjO2Iy https://t.co/UmQDcnqNq5"
35,@lodhi_krishna Thank you Krishna. Thank you everyone for your warm wishes 🙏
36,Happy Birthday to the most beautiful woman on earth!!! https://t.co/W6G7dIcziY
37,Go for it India!!! Best of luck Virat and team! Make this Eid an even more mubarak Eid for all of us :-)
38,"I wonder how he managed to charm Rani... I never did ! 
Happy Birthday Junsie 😘 https://t.co/z6kY7m1okz"
39,"Here is the final episode of Toofan Aalaya that captures the energy of Water Cup 2019 in the last week. A big thank you to everyone who has been a part of this struggle against drought. 

https://t.co/NeLAEMDhcr

Love
a.

@paanifoundation #ToofanAalaya #WaterCup2019 https://t.co/43FVu5RpFw"
40,"Wishing Mangesh Hadawale,  Sanjay Leela Bansali,  Mahaveer Jain,  Meezaan Jaffrey,  Sharmin Segal and the entire team of Malaal all the very best ! 

https://t.co/z2P2vpzLQb

Love.
a. https://t.co/m5LRwgcNGY"
41,"Dear @MajDPSingh, your post gave me goosebumps. 
We salute your courage, strength and grit in the face of adversity.  
Love and respect to you, Sir.
a. https://t.co/TYL8qurl1v"
42,"I'm very sad to hear about Veeruji passing away.I had the pleasure &amp; privilege of working with Veeruji.He was an amazing person to work with, extremely professional &amp; one of the best in his field. 
My heartfelt condolences to Ajay &amp; everyone in the family.  
Love and respect.
a."
43,"Hey guys, here is the 7th episode of Toofan Aalaya. Please watch.
https://t.co/KPxnhQ2U2A

Love
a
#PaaniFoundation #WaterCup2019 #ToofanAalaya @paanifoundation"
44,"Just saw a lovely play called 'A Farming Story', written by Vineet Bhalla and directed by Faezeh Jalali.  Try and catch it, there is another show tomorrow at 12pm at Prithvi. https://t.co/qlHEAXMoV3"
45,All of Amma's near and dear ones .... almost all... :-) https://t.co/8tRAu5Q8nm
46,"Azad, me, K, Amma and Appa. https://t.co/bLFGiK5QWb"
47,"Happy 75th Amma! 
Lots of love. 
a. https://t.co/mtN7Cm5xeM"
48,"Wow! I want to watch this. 
By the way,  how come there are no credits. I want to know the names of the crew members.
https://t.co/5YHWB1PaJS"
49,With chinese superstar #DengChao https://t.co/pgjEBrPI05
50,"Hey guys, here is the 6th episode of Toofan Aalaya. Please watch https://t.co/P0NjFlfyrT

Love
a

#ToofanAalaya #WaterCup2019 @paanifoundation"
51,"Dear @SunnyLeone,  wishing you a very happy birthday. Hope you had a great day.  Wishing you a great year ahead, and many happy returns of this very special day.  
Love. 
a."
52,"Ammi and me. 
Best Mom in the world! https://t.co/dgMM8bzMqU"
53,"My parents, Faisal and me :-) https://t.co/Y72Bc4Sgbl"
54,"My mom,  dad and Nikhat,  my elder sister... happy Mother's Day Ammi! 
😘 https://t.co/5VWUoLPJxi"
55,"Happy 21st Ira!!! 
Can't believe you got there so fast! You will always remain 6 for me! 
Love you. 
Papa. https://t.co/F91nUJjFbd"
